accuracy,f1_score,brier_score,log_loss,criterion,max_features,min_samples_leaf,min_samples_split,n_estimators,repeat,fold
0.855,0.8497409326424871,0.145,5.226329741421987,gini,sqrt,1,10,200,0,0
0.835,0.8421052631578947,0.165,5.947202809204331,entropy,log2,1,2,200,0,1
0.87,0.8737864077669902,0.13,4.68567494058523,gini,sqrt,1,10,200,0,2
0.835,0.8307692307692308,0.165,5.94720280920433,gini,sqrt,1,2,200,0,3
0.87,0.8785046728971962,0.13,4.68567494058523,gini,log2,1,10,200,0,4
0.79,0.8,0.21,7.5691672117146025,gini,sqrt,1,10,100,0,5
0.835,0.8450704225352113,0.165,5.94720280920433,gini,sqrt,1,2,200,0,6
0.845,0.8359788359788359,0.155,5.58676627531316,entropy,sqrt,1,2,200,0,7
0.82,0.8285714285714286,0.18,6.487857610041087,gini,sqrt,1,2,200,0,8
0.87,0.8761904761904762,0.13,4.685674940585229,gini,sqrt,1,2,200,0,9
0.85,0.8543689320388349,0.15,5.406548008367573,entropy,sqrt,1,10,200,1,0
0.82,0.8085106382978723,0.18,6.487857610041087,gini,log2,1,2,200,1,1
0.88,0.8823529411764706,0.12,4.325238406694059,gini,log2,1,2,100,1,2
0.83,0.826530612244898,0.17,6.127421076149916,entropy,sqrt,1,2,100,1,3
0.845,0.845771144278607,0.155,5.586766275313158,entropy,sqrt,1,2,200,1,4
0.86,0.8526315789473684,0.14,5.046111474476401,gini,sqrt,1,2,200,1,5
0.85,0.8636363636363636,0.15,5.406548008367573,entropy,log2,1,10,200,1,6
0.81,0.8,0.19,6.848294143932259,entropy,log2,1,2,200,1,7
0.87,0.8645833333333334,0.13,4.685674940585231,entropy,log2,1,2,200,1,8
0.855,0.8765957446808511,0.145,5.226329741421987,entropy,log2,1,2,100,1,9
0.84,0.8461538461538461,0.16,5.7669845422587445,gini,sqrt,1,2,200,2,0
0.875,0.8847926267281107,0.125,4.505456673639644,entropy,log2,1,2,200,2,1
0.845,0.845771144278607,0.155,5.586766275313158,entropy,log2,1,2,200,2,2
0.875,0.8847926267281107,0.125,4.505456673639644,gini,log2,1,2,200,2,3
0.895,0.896551724137931,0.105,3.784583605857301,gini,sqrt,1,2,100,2,4
0.84,0.8415841584158416,0.16,5.7669845422587445,entropy,sqrt,1,2,200,2,5
0.885,0.8949771689497716,0.115,4.145020139748473,gini,sqrt,1,2,200,2,6
0.79,0.7741935483870968,0.21,7.5691672117146025,entropy,sqrt,1,2,100,2,7
0.86,0.8556701030927835,0.14,5.046111474476401,gini,sqrt,1,2,200,2,8
0.84,0.8476190476190476,0.16,5.7669845422587445,gini,sqrt,1,2,200,2,9
0.83,0.8482142857142857,0.17,6.1274210761499175,gini,sqrt,1,2,100,3,0
0.905,0.9107981220657277,0.095,3.4241470719661296,entropy,log2,1,2,200,3,1
0.86,0.8390804597701149,0.14,5.046111474476402,entropy,log2,1,10,200,3,2
0.81,0.8137254901960784,0.19,6.848294143932259,entropy,sqrt,1,2,200,3,3
0.835,0.847926267281106,0.165,5.94720280920433,gini,sqrt,1,2,200,3,4
0.865,0.8656716417910447,0.135,4.8658932075308154,gini,log2,1,10,200,3,5
0.82,0.8163265306122449,0.18,6.487857610041087,gini,sqrt,1,2,200,3,6
0.835,0.8405797101449275,0.165,5.94720280920433,entropy,sqrt,1,10,200,3,7
0.83,0.83,0.17,6.127421076149916,gini,log2,1,2,200,3,8
0.845,0.8359788359788359,0.155,5.586766275313158,entropy,sqrt,1,2,200,3,9
0.885,0.8878048780487805,0.115,4.145020139748473,entropy,log2,1,2,200,4,0
0.845,0.8472906403940886,0.155,5.586766275313158,gini,log2,1,10,200,4,1
0.895,0.9004739336492891,0.105,3.7845836058573012,gini,log2,1,2,200,4,2
0.85,0.8543689320388349,0.15,5.406548008367573,entropy,sqrt,1,2,200,4,3
0.88,0.883495145631068,0.12,4.325238406694058,gini,log2,1,2,100,4,4
0.865,0.8540540540540541,0.135,4.8658932075308154,gini,log2,1,2,200,4,5
0.9,0.900990099009901,0.1,3.604365338911715,entropy,log2,1,10,200,4,6
0.865,0.8656716417910447,0.135,4.8658932075308154,gini,sqrt,1,2,200,4,7
0.885,0.8909952606635071,0.115,4.145020139748473,gini,log2,1,2,200,4,8
0.835,0.8390243902439024,0.165,5.94720280920433,gini,log2,1,10,200,4,9
0.85,0.84375,0.15,5.406548008367573,gini,sqrt,1,2,200,5,0
0.78,0.7864077669902912,0.22,7.929603745605774,entropy,sqrt,1,2,200,5,1
0.845,0.837696335078534,0.155,5.58676627531316,entropy,sqrt,1,10,200,5,2
0.845,0.8544600938967136,0.155,5.586766275313158,entropy,log2,1,2,200,5,3
0.865,0.8695652173913043,0.135,4.8658932075308154,gini,log2,1,10,200,5,4
0.835,0.819672131147541,0.165,5.947202809204331,gini,sqrt,1,10,200,5,5
0.84,0.8461538461538461,0.16,5.7669845422587445,gini,log2,1,2,200,5,6
0.85,0.8514851485148515,0.15,5.406548008367573,entropy,sqrt,1,2,200,5,7
0.88,0.896551724137931,0.12,4.325238406694059,gini,sqrt,1,2,200,5,8
0.865,0.8755760368663594,0.135,4.8658932075308154,entropy,sqrt,1,2,200,5,9
0.845,0.8502415458937198,0.155,5.586766275313158,gini,sqrt,1,2,200,6,0
0.86,0.8627450980392157,0.14,5.046111474476401,entropy,sqrt,1,2,200,6,1
0.82,0.8363636363636363,0.18,6.487857610041087,gini,log2,1,2,200,6,2
0.845,0.841025641025641,0.155,5.58676627531316,entropy,sqrt,1,2,200,6,3
0.85,0.85,0.15,5.406548008367573,entropy,sqrt,1,2,200,6,4
0.84,0.8571428571428571,0.16,5.7669845422587445,gini,log2,1,10,200,6,5
0.875,0.8717948717948718,0.125,4.505456673639644,gini,log2,1,10,200,6,6
0.85,0.8543689320388349,0.15,5.406548008367573,entropy,log2,1,2,200,6,7
0.85,0.8351648351648352,0.15,5.406548008367573,gini,sqrt,1,2,200,6,8
0.88,0.8787878787878788,0.12,4.325238406694059,gini,log2,1,2,200,6,9
0.855,0.8699551569506726,0.145,5.226329741421987,gini,log2,1,10,200,7,0
0.86,0.8571428571428571,0.14,5.046111474476402,entropy,log2,1,2,200,7,1
0.86,0.8372093023255814,0.14,5.046111474476402,gini,sqrt,1,2,200,7,2
0.85,0.8571428571428571,0.15,5.406548008367573,gini,log2,1,2,200,7,3
0.825,0.8108108108108109,0.175,6.307639343095502,entropy,log2,1,2,200,7,4
0.85,0.8557692307692307,0.15,5.406548008367573,entropy,sqrt,1,2,100,7,5
0.85,0.8421052631578947,0.15,5.406548008367572,entropy,log2,1,2,200,7,6
0.88,0.8918918918918919,0.12,4.325238406694059,gini,log2,1,2,200,7,7
0.895,0.9004739336492891,0.105,3.7845836058573012,gini,log2,1,2,200,7,8
0.82,0.8269230769230769,0.18,6.487857610041087,gini,sqrt,1,2,200,7,9
0.87,0.8522727272727273,0.13,4.685674940585231,gini,log2,1,2,200,8,0
0.825,0.8275862068965517,0.175,6.307639343095502,entropy,log2,1,10,200,8,1
0.88,0.8909090909090909,0.12,4.325238406694058,entropy,sqrt,1,10,200,8,2
0.895,0.8877005347593583,0.105,3.7845836058573012,entropy,log2,1,10,200,8,3
0.83,0.8172043010752689,0.17,6.127421076149916,entropy,sqrt,1,2,200,8,4
0.835,0.8324873096446701,0.165,5.94720280920433,entropy,sqrt,1,2,200,8,5
0.855,0.8599033816425121,0.145,5.226329741421987,entropy,log2,1,2,200,8,6
0.875,0.8888888888888888,0.125,4.505456673639644,entropy,log2,1,2,200,8,7
0.855,0.8651162790697674,0.145,5.226329741421987,gini,log2,1,2,100,8,8
0.84,0.8461538461538461,0.16,5.7669845422587445,entropy,log2,1,2,100,8,9
0.855,0.8512820512820513,0.145,5.226329741421987,gini,sqrt,1,2,200,9,0
0.875,0.8730964467005076,0.125,4.505456673639644,gini,log2,1,10,200,9,1
0.82,0.8144329896907216,0.18,6.487857610041087,entropy,log2,1,2,100,9,2
0.865,0.8767123287671232,0.135,4.8658932075308154,entropy,log2,1,2,200,9,3
0.825,0.8372093023255814,0.175,6.307639343095502,entropy,sqrt,1,10,100,9,4
0.86,0.86,0.14,5.046111474476402,gini,sqrt,1,2,200,9,5
0.9,0.9090909090909091,0.1,3.604365338911715,entropy,log2,1,2,200,9,6
0.84,0.8446601941747572,0.16,5.7669845422587445,entropy,sqrt,1,2,200,9,7
0.84,0.8241758241758241,0.16,5.7669845422587445,gini,sqrt,1,2,200,9,8
0.825,0.8258706467661692,0.175,6.307639343095502,gini,log2,1,2,100,9,9
