accuracy,f1_score,brier_score,log_loss,C,gamma,repeat,fold
0.74,0.7319587628865979,0.26,9.37134988117046,0.1,scale,0,0
0.765,0.7589743589743589,0.235,8.47025854644253,0.1,scale,0,1
0.74,0.7373737373737373,0.26,9.37134988117046,0.1,scale,0,2
0.745,0.7213114754098361,0.255,9.191131614224874,0.1,scale,0,3
0.745,0.7213114754098361,0.255,9.191131614224874,0.1,scale,0,4
0.71,0.6881720430107527,0.29,10.452659482843973,0.1,scale,0,5
0.745,0.7243243243243244,0.255,9.191131614224874,0.1,scale,0,6
0.74,0.7142857142857143,0.26,9.371349881170458,0.1,scale,0,7
0.76,0.7913043478260869,0.24,8.650476813388115,0.1,scale,0,8
0.78,0.7884615384615384,0.22,7.929603745605773,0.1,scale,0,9
0.74,0.7319587628865979,0.26,9.37134988117046,0.1,scale,1,0
0.765,0.7589743589743589,0.235,8.47025854644253,0.1,scale,1,1
0.74,0.7373737373737373,0.26,9.37134988117046,0.1,scale,1,2
0.745,0.7213114754098361,0.255,9.191131614224874,0.1,scale,1,3
0.745,0.7213114754098361,0.255,9.191131614224874,0.1,scale,1,4
0.71,0.6881720430107527,0.29,10.452659482843973,0.1,scale,1,5
0.745,0.7243243243243244,0.255,9.191131614224874,0.1,scale,1,6
0.74,0.7142857142857143,0.26,9.371349881170458,0.1,scale,1,7
0.76,0.7913043478260869,0.24,8.650476813388115,0.1,scale,1,8
0.78,0.7884615384615384,0.22,7.929603745605773,0.1,scale,1,9
0.74,0.7319587628865979,0.26,9.37134988117046,0.1,scale,2,0
0.765,0.7589743589743589,0.235,8.47025854644253,0.1,scale,2,1
0.74,0.7373737373737373,0.26,9.37134988117046,0.1,scale,2,2
0.745,0.7213114754098361,0.255,9.191131614224874,0.1,scale,2,3
0.745,0.7213114754098361,0.255,9.191131614224874,0.1,scale,2,4
0.71,0.6881720430107527,0.29,10.452659482843973,0.1,scale,2,5
0.745,0.7243243243243244,0.255,9.191131614224874,0.1,scale,2,6
0.74,0.7142857142857143,0.26,9.371349881170458,0.1,scale,2,7
0.76,0.7913043478260869,0.24,8.650476813388115,0.1,scale,2,8
0.78,0.7884615384615384,0.22,7.929603745605773,0.1,scale,2,9
0.74,0.7319587628865979,0.26,9.37134988117046,0.1,scale,3,0
0.765,0.7589743589743589,0.235,8.47025854644253,0.1,scale,3,1
0.74,0.7373737373737373,0.26,9.37134988117046,0.1,scale,3,2
0.745,0.7213114754098361,0.255,9.191131614224874,0.1,scale,3,3
0.745,0.7213114754098361,0.255,9.191131614224874,0.1,scale,3,4
0.71,0.6881720430107527,0.29,10.452659482843973,0.1,scale,3,5
0.745,0.7243243243243244,0.255,9.191131614224874,0.1,scale,3,6
0.74,0.7142857142857143,0.26,9.371349881170458,0.1,scale,3,7
0.76,0.7913043478260869,0.24,8.650476813388115,0.1,scale,3,8
0.78,0.7884615384615384,0.22,7.929603745605773,0.1,scale,3,9
0.74,0.7319587628865979,0.26,9.37134988117046,0.1,scale,4,0
0.765,0.7589743589743589,0.235,8.47025854644253,0.1,scale,4,1
0.74,0.7373737373737373,0.26,9.37134988117046,0.1,scale,4,2
0.745,0.7213114754098361,0.255,9.191131614224874,0.1,scale,4,3
0.745,0.7213114754098361,0.255,9.191131614224874,0.1,scale,4,4
0.71,0.6881720430107527,0.29,10.452659482843973,0.1,scale,4,5
0.745,0.7243243243243244,0.255,9.191131614224874,0.1,scale,4,6
0.74,0.7142857142857143,0.26,9.371349881170458,0.1,scale,4,7
0.76,0.7913043478260869,0.24,8.650476813388115,0.1,scale,4,8
0.78,0.7884615384615384,0.22,7.929603745605773,0.1,scale,4,9
0.74,0.7319587628865979,0.26,9.37134988117046,0.1,scale,5,0
0.765,0.7589743589743589,0.235,8.47025854644253,0.1,scale,5,1
0.74,0.7373737373737373,0.26,9.37134988117046,0.1,scale,5,2
0.745,0.7213114754098361,0.255,9.191131614224874,0.1,scale,5,3
0.745,0.7213114754098361,0.255,9.191131614224874,0.1,scale,5,4
0.71,0.6881720430107527,0.29,10.452659482843973,0.1,scale,5,5
0.745,0.7243243243243244,0.255,9.191131614224874,0.1,scale,5,6
0.74,0.7142857142857143,0.26,9.371349881170458,0.1,scale,5,7
0.76,0.7913043478260869,0.24,8.650476813388115,0.1,scale,5,8
0.78,0.7884615384615384,0.22,7.929603745605773,0.1,scale,5,9
0.74,0.7319587628865979,0.26,9.37134988117046,0.1,scale,6,0
0.765,0.7589743589743589,0.235,8.47025854644253,0.1,scale,6,1
0.74,0.7373737373737373,0.26,9.37134988117046,0.1,scale,6,2
0.745,0.7213114754098361,0.255,9.191131614224874,0.1,scale,6,3
0.745,0.7213114754098361,0.255,9.191131614224874,0.1,scale,6,4
0.71,0.6881720430107527,0.29,10.452659482843973,0.1,scale,6,5
0.745,0.7243243243243244,0.255,9.191131614224874,0.1,scale,6,6
0.74,0.7142857142857143,0.26,9.371349881170458,0.1,scale,6,7
0.76,0.7913043478260869,0.24,8.650476813388115,0.1,scale,6,8
0.78,0.7884615384615384,0.22,7.929603745605773,0.1,scale,6,9
0.74,0.7319587628865979,0.26,9.37134988117046,0.1,scale,7,0
0.765,0.7589743589743589,0.235,8.47025854644253,0.1,scale,7,1
0.74,0.7373737373737373,0.26,9.37134988117046,0.1,scale,7,2
0.745,0.7213114754098361,0.255,9.191131614224874,0.1,scale,7,3
0.745,0.7213114754098361,0.255,9.191131614224874,0.1,scale,7,4
0.71,0.6881720430107527,0.29,10.452659482843973,0.1,scale,7,5
0.745,0.7243243243243244,0.255,9.191131614224874,0.1,scale,7,6
0.74,0.7142857142857143,0.26,9.371349881170458,0.1,scale,7,7
0.76,0.7913043478260869,0.24,8.650476813388115,0.1,scale,7,8
0.78,0.7884615384615384,0.22,7.929603745605773,0.1,scale,7,9
0.74,0.7319587628865979,0.26,9.37134988117046,0.1,scale,8,0
0.765,0.7589743589743589,0.235,8.47025854644253,0.1,scale,8,1
0.74,0.7373737373737373,0.26,9.37134988117046,0.1,scale,8,2
0.745,0.7213114754098361,0.255,9.191131614224874,0.1,scale,8,3
0.745,0.7213114754098361,0.255,9.191131614224874,0.1,scale,8,4
0.71,0.6881720430107527,0.29,10.452659482843973,0.1,scale,8,5
0.745,0.7243243243243244,0.255,9.191131614224874,0.1,scale,8,6
0.74,0.7142857142857143,0.26,9.371349881170458,0.1,scale,8,7
0.76,0.7913043478260869,0.24,8.650476813388115,0.1,scale,8,8
0.78,0.7884615384615384,0.22,7.929603745605773,0.1,scale,8,9
0.74,0.7319587628865979,0.26,9.37134988117046,0.1,scale,9,0
0.765,0.7589743589743589,0.235,8.47025854644253,0.1,scale,9,1
0.74,0.7373737373737373,0.26,9.37134988117046,0.1,scale,9,2
0.745,0.7213114754098361,0.255,9.191131614224874,0.1,scale,9,3
0.745,0.7213114754098361,0.255,9.191131614224874,0.1,scale,9,4
0.71,0.6881720430107527,0.29,10.452659482843973,0.1,scale,9,5
0.745,0.7243243243243244,0.255,9.191131614224874,0.1,scale,9,6
0.74,0.7142857142857143,0.26,9.371349881170458,0.1,scale,9,7
0.76,0.7913043478260869,0.24,8.650476813388115,0.1,scale,9,8
0.78,0.7884615384615384,0.22,7.929603745605773,0.1,scale,9,9
